PRS_NAT;libelle_prestation;libelle_prestation_en_b2
4612;FORFAIT D EDUCATION THERAPEUTIQUE ET D INTERESSEMENT (FILIERES ET RESEAUX);FET
5101;FORFAIT VERRES UNIFOCAUX OP1;OP1
5102;FORFAIT VERRES UNIFOCAUX OP2;OP2
5103;FORFAIT VERRES UNIFOCAUX OP3;OP3
5104;FORFAIT VERRES UNIFOCAUX OP4;OP4
5105;FORFAIT VERRES UNIFOCAUX OP5;OP5
5106;FORFAIT VERRES UNIFOCAUX OP6;OP6
5107;FORFAIT MONTURE CMU;OPM
5108;TM DU FORFAIT MONTURE MOINS DE 18 ANS CMU;OME
5109;TM DU FORFAIT OPTIQUE -ENFANT-N° 1 UNIFOCAUX (CMU);OV1
5110;TM DU FORFAIT OPTIQUE -ENFANT-N° 2 UNIFOCAUX (CMU);OV2
5111;TM DU FORFAIT OPTIQUE -ENFANT-N° 3 UNIFOCAUX (CMU);OV3
5112;TM DU FORFAIT OPTIQUE -ENFANT-N° 4 UNIFOCAUX (CMU);OV4
5113;TM DU FORFAIT OPTIQUE -ENFANT-N° 5 UNIFOCAUX (CMU);OV5
5114;TM DU FORFAIT OPTIQUE -ENFANT-N° 6 UNIFOCAUX (CMU);OV6
5115;TM DU FORFAIT OPTIQUE -ENFANT-N° 7 UNIFOCAUX (CMU);OV7
5116;TM DU FORFAIT OPTIQUE -ENFANT-N° 8 UNIFOCAUX (CMU);OV8
5117;TM DU FORFAIT OPTIQUE -ENFANT-N° 9 UNIFOCAUX (CMU);OV9
5118;TM DU FORFAIT OPTIQUE ENFANT -A- MULTIFOCAUX (CMU);OVA
5119;TM DU FORFAIT OPTIQUE ENFANT -B- MULTIFOCAUX (CMU);OVB
5120;TM DU FORFAIT OPTIQUE -N° 6 MULTIFOCAUX (CMU);OP7
5201;FORFAIT PROTHESE DENTAIRE ADJOINTE;FDA
5202;FORFAIT REPARATION PROTHESE ADJOINTE;FDR
5203;FORFAIT PROTHESE DENTAIRE CONJOINTE;FDC
5204;FORFAIT ORTHODONTIE;FDO
5205;FORFAIT PROTHESE CONJOINTE (CMU HORS PANIER DE SOINS);FPC
5206;FORFAIT ORTHODONTIQUE (CMU HORS PANIER DE SOINS);FPO
5401;FORFAIT AUDIO-PROTHESE;PAU
6011;CARENCE -;CAR-
6012;CARENCE +;CAR +
6013;IJ CARENCE (CRPCEN);IJC
6014;COMPLEMENT IJ >PLAFOND   (CRPCEN);CIJ
6110;IJ NORMALES + 6MOIS;ASN
6111;IJ NORMALES -3 MOIS;NOR-/REN-/MIN-
6112;IJ NORMALES +3MOIS;NOR+/MIN+
6113;IJ REDUITES -3MOIS;1/1-
6114;IJ REDUITES +3MOIS;1/1+
6115;IJ MAJOREES -3MOIS;MAJ-/REN+
6116;IJ MAJOREES +3MOIS;MAJ+/MIJ-/MIJ+
6117;IJ PARTIELLE,  PERTE DE SALAIRE -3MOIS;MIT-
6118;IJ PARTIELLE,  PERTE DE SALAIRE +3MOIS;MIT+
6119;IJ MAJOREES + 6 MOIS;ASM
6120;INDEMNITE TEMPORAIRE D'INAPTITUDE AT/MP;ITI
6121;IJ PRENATALES;PRE
6122;IJ POSTNATALES;POS
6123;IJ EN CAS D  ADOPTION;ADO
6124;IJ CONGE SUPPLEMENTAIRE PREMA;ISM
6126;FORFAIT GROSSESSE TAUX PLEIN TI;FGP
6127;FORFAIT GROSSESSE TAUX REDUIT TI;FGR
6131;IJ NORMALES POUR CURE THERMALE;CUN-
6132;IJ MAJOREES POUR CURE THERMALE;CUM-
6133;IJ REDUITES POUR CURE THERMALE;CUR-
6134;IJ MALADIE  PAMC MOINS DE 3 MOIS;AAM-
6135;IJ MALADIE  PAMC PLUS DE 3 MOIS;AAM+
6210;IJ PATERNITE HOSPITALISATION ENFANT;PEH-/PEH+
6212;IJ CONGE MATERNITE AU PERE;PER
6213;INDEMNITE DE REMPLACEMENT PATERNITE;
6214;IJ CONGE SUPPLEMENTAIRE MATERNITE PAMC;ISP-
6215;IJ CONGE POSTNATAL PAMC;IRN+/IRN-
6221;ALLOCATION REPOS MATERNEL NORMAL;ARM
6222;ALLOCATION REPOS MATERNEL ADOPTION;ARA
6231;IJ CONGE PRENATAL PAMC;IRM+/IRM-
6232;IJ CONGE ADOPTION PAMC;IRA-/IRA+
6233;IJ CONGE PATHOLOGIQUE PAMC;IRP-
6234;INDEMNITE MATERNITE EN CAS DE NAISSANCES MULTIPLES;IRG
6235;INDEMNITE DE REMPLACEMENT CONJOINTE COLLABORATRICE;IRC
6236;IJ PATERNITE PAMC;IPA-
6237;INDEMNITE PATERNITE CONJOINT PAMC;IPC
6238;INDEMNITES PATERNITE CONJOINT INFIRMIER;IPI
6239;INDEMNITÉ MALADIE DOUBLE ACTIVITÉ  PAMC;IDA
6241;ALLOCATION ACCOMPAGNEMENT FIN DE VIE CESSATION ACTIVITE TEMPS PLEIN;AVP
6242;ALLOCATION ACCOMPAGNEMENT FIN DE VIE CESSATION ACTIVITE REDUITE;AVR
6251;ALLOCATION NUIT NORMALE - 3 MOIS;NNO-
6252;ALLOCATION NUIT NORMALE + 3 MOIS;NNO+
6253;ALLOCATION NUIT MAJOREE  3 ENFANTS - 3 MOIS;NME-
6257;ALLOCATION EXPOSITION NORMALE - 3 MOIS;ENO-
6258;ALLOCATION EXPOSITION NORMALE + 3 MOIS;ENO+
6261;ALLOCATION EXPOSITION MAJOREE 3 ENFANTS - 3 MOIS;EME-
6262;ALLOCATION EXPOSITION MAJOREE 3 ENFANTS + 3 MOIS;EME+
6311;RDS IJ MATERNITE;
7111;PENSION INVALIDITE AVANTAGES DE BASE;PI/RPI
7112;PENSION INVALIDITE ALLOCATIONS SUPPLEMENTAIRES;FN/RFN
7113;PENSION INVALIDITE MAJORATIONS POUR ASSISTANCE D  UNE TIERCE PERSONNE;TP/RTP
7119;PENSIONS D  INVALIDITE SERVIES PAR LE REGIME SPECIAL DE SECURITE SOCIALE DANS LES MINES;
8111;RENTES DE VICTIME;RVI
8112;MAJORATIONS POUR ASSISTANCE D  UNE TIERCE PERSONNE;MTP
8113;RENTES DE CONJOINT SURVIVANT;RCS
8114;RENTES DE REVERSION;REV
8115;RENTES D  ORPHELIN;ROR
8116;RENTES D  ASCENDANT;RAS
8117;MAJORATION FAUTE INEXCUSABLE RENTE ASCENDANT;FIA
8118;MAJORATION FAUTE INEXCUSABLE RENTE VICTIME;FIR
8119;MAJORATION FAUTE INEXCUSABLE RENTE CONJOINT;FIC
8120;MAJORATION FAUTE INEXCUSABLE RENTE ORPHELIN;FIO
8121;PRESTATION COMPLEMENTAIRE POUR RECOURS A TIERCE PERSONNE;PTP
8222;RACHAT OBLIGATOIRE;ROB
8223;RACHAT FACULTATIF TOTAL;RFT
8224;RACHAT FACULTATIF PARTIEL;RFP
8225;TRANSFERT DE CAPITAUX;
8226;INDEMNITE EN CAPITAL ACCIDENT DU TRAVAIL;ICA
8227;MAJORATION FAUTE INEXCUSABLE INDEMNITE EN CAPITAL;FII
9111;COMPLEMENT TICKET MODERATEUR;P01
9112;COMPLEMENT FRAIS DE TRANSPORT ET DE SEJOUR;P02
9113;FRAIS OCCASIONNE PAR LE DON D ORGANES;P03
9114;COMPLEMENT AUX FRAIS D HOSPITALISATION DE LA MERE QUI ALLAITE SON ENFANT;P04
9115;PERTE DE SALAIRE POUR ENFANT MALADE;P05
9116;INDEMNITES JOURNALIERES MATERNITE POUR CERTAINES CATEGORIES D ASSURES;P06
9118;FRAIS FUNERAIRES;P08
9119;COMPLEMENT POUR CURE THERMALE;P10
9121;COMPLEMENT TICKET MODERATEUR POUR ENFANT DE MOINS D UN AN;P11
9122;ALLOCATION DECES;P12
9123;COMPLEMENT MALADIES CHRONIQUES ET MAINTIEN A DOMICILE;P13
9129;INDEMNITES COMPLEMENTAIRES EN REEDUCATION PROFESSIONNELLE;P09
9131;INDEMNITE DE PERTE DE SALAIRE Y COMPRIS  DIALYSE A DOMICILE;PSD/IPS
9132;FRAIS DE DEPLACEMENT EN CURE THERMALE;TTH
9133;FRAIS D  HEBERGEMENT EN CURE THERMALE;HTH
9134;PRIME DE FIN DE REEDUCATION PROFESSIONNELLE;PFR
9135;AIDE FINANCIERE EXCEPTIONNELLE (SECOURS);SEC
9141;MAJORATION LIEE A UNE VISITE D  URGENCE;VA
9143;SUPPLEMENT POUR SOINS AUX POLYTRAUMATISES;
9144;HONORAIRES REMUNERANT LA PERMANENCE TELEPHONIQUE SUR LA BASE DE 3 C DE L HEURE (ASTREINTE);
9151;PLAN SEGUIN;
9152;PLAN EVIN;
9161;PRESTATIONS SUPPLEMENTAIRES ALSACE-MOSELLE;
9162;SURVEILLANCE MEDICALE MATERNELLE EN ACTION SANITAIRE ET SOCIALE;SNM
9163;CENTRE EXAMEN SANTE  SAISIE MANUELLE;
9164;PRESTATIONS D ASS SNCF ET REGIME GENERAL;
9167;PRESTATIONS D ASS SNCF ET REGIME GENERAL;
9170;PRESTATIONS D ASS SNCF ET REGIME GENERAL;
9191;TICKET MODERATEUR - PREVENTION BUCCO-DENTAIRE;
9201;ENTRETIEN EVALUATION PSYCHOLOGUE;EEP
9202;ACCOMPAGNEMENT PSYCHOLOGIQUE DE SOUTIEN;APS
9203;PSYCHOTHERAPIE STRUCTUREE;PSS
9211;VACCIN (MILITAIRES) / VACCIN GRIPPE (CRPCEN);VCC/VAC
9221;TEST DE DEPISTAGE RAPIDE (FOURNISSEUR);TDF
9311;DEPISTAGE DU CANCER COLO-RECTAL;BD4
9312;DEPISTAGE DU CANCER DU SEIN (PREVENTION MALADIE);
9313;FRAIS DE LECTURE POUR MAMMOGRAPHIE;BD3
9318;ANALYSES DEPISTAGE CANCER UTERUS (PREVENTION MALADIE);
9411;CONSULTATION HYGIENE BUCCO-DENTAIRE;
9412;HYGIENE BUCCO-DENTAIRE N91 (SCELLEMENT D  UNE MOLAIRE);
9413;HYGIENE BUCCO-DENTAIRE N92 (SCELLEMENT DE DEUX MOLAIRES);
9421;PREVENTION BUCCO-DENTAIRE: CONSULTATION;BDC
9422;PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES;BR2
9423;PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES;BR4
9424;PREVENTION BUCCO-DENTAIRE: RADIO EN IMAGERIE NUMERISEE;RIN
9429;CAMPAGNE BUCCO DENTAIRE MOCALES;BD2
9430;TM DE L'ACTE DE VACCINATION GRIPPE A/H1N1;
9431;PREVENTION ENTRETIEN DE SANTE;PES
9432;TM DES INDEMNITES DE DEPLACEMENTS ID et MD;
9433;TM DE LA RETINOPATHIE DIABETIQUE;
9434;ACTE DE DEPISTAGE DU CANCER COLORECTAL;DCC
9511;EXAMEN ET BILAN DE SANTE;BDS/EDS
9512;AUTRES ACTIONS COLLECTIVES DE PREVENTION;BD5
9521;ACTES DE PREVENTION;PDI
9566;TRAITEMENT NICOTINIQUE DE SUBSTITUTION;TNS
9567;REMUNERATION ADHESION SOPHIA (PREVENTION);RSO
9568;REMUNERATION RENOUVELLEMENT SOPHIA (PREVENTION);RSR
9569;RETOUR DOM. INSUFFISANT CARDIAQUE;RAD
9570;BRONCHO-PNEUMOPATHIE CHRONIQUE OBSTRUCTIVE;BPC
9601;MUTUELLE CHAMBRE PARTICULIERE (CAVIMAC);MCP
9701;COMPLEMENT D ACTION SOCIALE APPAREIL DE SURDITE (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);SSU
9703;COMPLEMENT D ACTION SOCIALE DENTAIRE (CLERCS ET EMPLOYES DE NOTAIRES);SDO
9704;COMPLEMENT D ACTION SOCIALE PROTHESES DENTAIRES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);ASP
9705;COMPLEMENT D ACTION SOCIALE DENTAIRE ALSACE MOSELLE (CLERCS ET EMPLOYES DE NOTAIRES);SSP
9706;COMPLEMENT D ACTION SOCIALE OPTIQUE (CLERCS ET EMPLOYES DE NOTAIRES);SOL
9707;COMPLEMENT D ACTION SOCIALE OPTIQUE, ENFANT DE MOINS DE 16 ANS (CLERCS ET EMPLOYES DE NOTAIRES);SOE
9708;COMPLEMENT D ACTION SOCIALE MONTURES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);SOM
9709;COMPLEMENT D ACTION SOCIALE VERRES (CLERCS ET  EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);SOV
9710;COMPLEMENT D ACTION SOCIALE LENTILLES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);
9711;PRIME DE LAYETTE (CLERCS ET  EMPLOYES DE NOTAIRES);LYA/LYB/LYJ/LYT
9712;ALLOCATION VOYAGE DES ENFANTS A LA COLONIE DU PRARIAND (CLERCS ET EMPLOYES DE NOTAIRES);VOY
9713;AIDE AUX SEJOURS DES ENFANTS (CLERCS ET EMPLOYES DE NOTAIRES);COL
9714;ALLOCATION VACANCES (CLERCS ET EMPLOYES DE NOTAIRES);FAM
9715;AIDES FINANCIERES INDIVIDUELLES OPTIQUE;SSO
9716;ACTION SOCIALE DENTAIRE;SSD
9717;ACTION SOCIALE AUDITIF;SSA
9719;AIDES FINANCIERES INDIVIDUELLES HOSPITALISATION;SEJ
9721;AIDES FINANCIERES INDIVIDUELLES DIFFICULTES FINANCIERES;DIF
9722;AIDES FINANCIERES INDIVIDUELLES AUTRES;AAF
9723;VACANCES RETRAITES (CLERCS ET EMPLOYES DE NOTAIRES);RET
9724;AIDE A LA SCOLARITE (CRPCEN);SCO
9725;ACCUEIL JEUNE ENFANT (CRPCEN);CES
9726;PRESTATIONS SUPPLÉMENTAIRES OPTIQUES CRPCEN;SOP
9727;PRESTATIONS SUPPLÉMENTAIRES ACOUSTIQUES CRPCEN;SAU
9731;COMPLEMENT A L'ACS;AMU
9732;AIDE A L'ACQUISITION D'UNE COUVERTURE COMPLEMENTAIRE POUR LES VICTIMES DU SEUIL ACS;AFI
9741;AIDES AU LOGEMENT;HLO
9742;AIDE A LA COMMUNICATION HORS AUDITIF;HCO
9743;AIDES A LA DEAMBULATION ET AU TRANSPORT;HAT
9744;AUTRES TYPES D AIDES;HAU
9751;FOURNITURES ET ACCESSOIRES NON REMBOURSABLES;SPL
9752;GARDES MALADES A DOMICILE;HAD
9761;AIDES FINANCIERES INDIVIDUELLES ORTHODONTIE;SOR
9762;AIDES FINANCIERES INDIVIDUELLES PHARMACIE/LPP;SEP
9763;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AU LOGEMENT;DIL
9764;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX BESOINS ALIMENTAIRES ET VESTIMENTAIRES;DIB
9765;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX FRAIS DE SCOLARISATION;DIS
9766;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX REGLEMENTS D'IMPOTS TAXES ET PRIMES;DIT
9767;AIDES FINANCIERES A CARACTERE SOCIAL D'ATTENTE DE VERSEMENT DE REVENUS DE SUBSTITUTION;DIA
9768;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX FRAIS D'OBSEQUES;DIO
9769;AIDES FINANCIERES A CARACTERE SOCIAL PALLIANT L'ABSENCE DE REVENUS;DIN
9771;AIDES PROTHESES AUDITIVES;HPA
9772;AIDES MENAGERES;HAI
9773;AIDES MENAGERES SORTIE D'HOSPITALISATION COORDONNEE;ASH
9774;ACTES FOURNITURES SORTIE D'HOSPITALISATION COORDONNEE;PSH
9775;AIDES MENAGERES PROGRAMME D'ACCOMPAGNEMENT APRES INTERVENTION ORTHOPEDIQUE;PAD
9776;ACTES FOURNITURES PROGRAMME D'ACCOMPAGNEMENT APRES INTERVENTION ORTHOPEDIQUE;PFD
9777;PHARMACIE NON REMBOURSABLE SOINS PALLIATIFS;PPL
9778;BILANS DE COMPETENCES ET REORIENTATION PROFESSIONNELLE;BCP
9802;CODES MIS A LA DISPOSITION DE LA SNCF;
9803;CODES MIS A LA DISPOSITION DE LA SNCF;
9806;CODES MIS A LA DISPOSITION DE LA SNCF;
9808;CODES MIS A LA DISPOSITION DE LA SNCF;
9809;CODES MIS A LA DISPOSITION DE LA SNCF;
9810;CODES MIS A LA DISPOSITION DE LA SNCF;
9812;CODES MIS A LA DISPOSITION DE LA SNCF;
9813;CODES MIS A LA DISPOSITION DE LA SNCF;
9814;CODES MIS A LA DISPOSITION DE LA SNCF;
9815;CODES MIS A LA DISPOSITION DE LA SNCF;
9816;CODES MIS A LA DISPOSITION DE LA SNCF;
9817;CODES MIS A LA DISPOSITION DE LA SNCF;
9820;CODES MIS A LA DISPOSITION DE LA SNCF;
9822;CODES MIS A LA DISPOSITION DE LA SNCF;
9823;CODES MIS A LA DISPOSITION DE LA SNCF;
9825;CODES MIS A LA DISPOSITION DE LA SNCF;
9830;CODES MIS A LA DISPOSITION DE LA SNCF;
9831;CODES MIS A LA DISPOSITION DE LA SNCF;
9832;CODES MIS A LA DISPOSITION DE LA SNCF;
9833;CODES MIS A LA DISPOSITION DE LA SNCF;
9841;CODES MIS A LA DISPOSITION DE LA SNCF;
9842;CODES MIS A LA DISPOSITION DE LA SNCF;
9843;CODES MIS A LA DISPOSITION DE LA SNCF;
9844;CODES MIS A LA DISPOSITION DE LA SNCF;
9845;CODES MIS A LA DISPOSITION DE LA SNCF;
9847;CODES MIS A LA DISPOSITION DE LA SNCF;
9849;CODES MIS A LA DISPOSITION DE LA SNCF;
9851;CODES MIS A LA DISPOSITION DE LA SNCF;
9852;CODES MIS A LA DISPOSITION DE LA SNCF;
9853;CODES MIS A LA DISPOSITION DE LA SNCF;
9854;CODES MIS A LA DISPOSITION DE LA SNCF;
9855;CODES MIS A LA DISPOSITION DE LA SNCF;
9856;CODES MIS A LA DISPOSITION DE LA SNCF;
9857;CODES MIS A LA DISPOSITION DE LA SNCF;
9858;CODES MIS A LA DISPOSITION DE LA SNCF;
9859;CODES MIS A LA DISPOSITION DE LA SNCF;
9860;CODES MIS A LA DISPOSITION DE LA SNCF;
9861;CODES MIS A LA DISPOSITION DE LA SNCF;
9862;CODES MIS A LA DISPOSITION DE LA SNCF;
9863;CODES MIS A LA DISPOSITION DE LA SNCF;
9864;CODES MIS A LA DISPOSITION DE LA SNCF;
9865;CODES MIS A LA DISPOSITION DE LA SNCF;
9866;CODES MIS A LA DISPOSITION DE LA SNCF;
9867;CODES MIS A LA DISPOSITION DE LA SNCF;
9871;CODES MIS A LA DISPOSITION DE LA SNCF;
9872;CODES MIS A LA DISPOSITION DE LA SNCF;
9873;CODES MIS A LA DISPOSITION DE LA SNCF;
9875;CODES MIS A LA DISPOSITION DE LA SNCF;
9880;CODES MIS A LA DISPOSITION DE LA SNCF;
9890;CODES MIS A LA DISPOSITION DE LA SNCF;
9891;CODES MIS A LA DISPOSITION DE LA SNCF;
9894;CODES MIS A LA DISPOSITION DE LA SNCF;
9895;CODES MIS A LA DISPOSITION DE LA SNCF;
9896;CODES MIS A LA DISPOSITION DE LA SNCF;
9901;TRANSPORT POUR PERSONNE ACCOMPAGNANTE (MILITAIRES);TRA
9902;AIDE SOCIALE (MILITAIRES);AFA
9911;AIDE MENAGERE;AIM
9912;AIDE MENAGERE FAMILIALE (MILITAIRES);AFM
9999;VALEUR INCONNUE;
